Film,Script Type,Average critics ,Average audience ,Primary Genre,Opening Weekend,Domestic Gross,Foreign Gross,Worldwide Gross,Budget ($million),Release Date (US)
The Hurricane Heist,original screenplay,40,34,thriller,3024399,6115824,0,6115824,35,9-Mar-18
The Leisure Seeker,adaptation,41,68,drama,-,3224126,2317,3226443,,9-Mar-18
The Meg,adaptation,47,55,action,45402195,106297689,308135382,414433071,130,10-Aug-18
The Miracle Season,based on a true story,47,85,drama,3950652,10230620,0,10230620,,6-Apr-18
The Mule,based on a true story,62,68,crime,17509431,81108110,0,81108110,50,14-Dec-18
The Nun,sequel,36,47,horror,53807379,117450119,248100000,365550119,22,7-Sep-18
The Nutcracker and the Four Realms,adaptation,37,42,adventure,20352491,54743921,117915111,172659032,120,2-Nov-18
The Post,based on a true story,85,71,drama,19361968,81903458,95766894,177670352,50,12-Jan-18
The Predator,sequel,40,41,sci-fi,24632284,51024708,109517426,160542134,88,14-Sep-18
The Rider,original screenplay,94,82,drama,42244,2381014,0,2381014,,13-Apr-18
The Seagull,adaptation,64,65,drama,79016,1252960,0,1252960,,11-May-18
The Spy Who Dumped Me,original screenplay,51,64,comedy,12103043,32392119,20140198,52532317,40,3-Aug-18
The Strangers: Prey at Night,sequel,43,45,horror,10402271,24431472,155236,24586708,5,9-Mar-18
Thoroughbreds,original screenplay,81,69,drama,1224430,2830775,0,2830775,5.4,9-Mar-18
Tomb Raider,adaptation,50,61,action,23633317,57421715,216100000,273521715,94,16-Mar-18
Traffik,original screenplay,31,46,thriller,3941338,9186156,316741,9502897,4,20-Apr-18
Truth or Dare,original screenplay,25,30,thriller,18667855,40717020,54118281,94835301,3.5,13-Apr-18
Tully,original screenplay,81,76,comedy,3282610,9227130,6327027,15554157,,4-May-18
Tyler Perry's Acrimony,original screenplay,27,41,thriller,17170707,43549096,2844416,46393512,20,30-Mar-18
Uncle Drew,original screenplay,61,58,comedy,15242781,42313019,1874202,44187221,18,29-Jun-18
Unfriended: Dark Web,sequel,55,41,horror,3653035,8783985,806870,9590855,1,20-Jul-18
Unsane,original screenplay,71,61,thriller,3762145,7690044,6490758,14180802,1.5,23-Mar-18
Upgrade,original screenplay,76,83,thriller,4670905,11871365,0,11871365,4,1-Jun-18
Venom,adaptation,32,74,action,80255756,213371003,642132735,855503738,100,5-Oct-18
Vice,based on a true story,62,58,drama,7768371,29796477,0,29796477,60,25-Dec-18
White Boy Rick,based on a true story,60,59,crime,8860431,24011188,77801,24088989,29,14-Sep-18
Widows,adaptation,87,67,crime,12361307,41990165,32231390,74221555,42,16-Nov-18
Winchester,original screenplay,21,39,thriller,9307626,25091816,0,25091816,3.5,2-Feb-18
You Were Never Really Here,adaptation,86,69,drama,132829,2523610,0,2523610,,6-Apr-18
